stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
TOURB_1,"Tourbian",,  48.413273,  -4.449973,,,,1
TOURB_2,"Tourbian",,  48.413151,  -4.450201,,,,1
LIBE_2,"Libération",,  48.396824,  -4.518763,,,,1
DIGUE_1,"La Digue",,  48.397320,  -4.515074,,,,1
TREORN_1,"Tréornou",,  48.411133,  -4.498967,,,,1
TREORN_2,"Tréornou",,  48.411179,  -4.498498,,,,1
TRINIT_1,"La Trinité",,  48.370682,  -4.585945,,,,1
TRINIT_2,"La Trinité",,  48.370708,  -4.585786,,,,1
DIGUE_2,"La Digue",,  48.397488,  -4.515285,,,,1
TY_ARM_2,"Ty Armor",,  48.383606,  -4.391767,,,,1
TY_ARM_1,"Ty Armor",,  48.383518,  -4.393747,,,,1
TY_YAN_1,"Ty-Yann",,  48.389717,  -4.439215,,,,1
UNIVER_2,"Universités",,  48.399387,  -4.495504,,,,1
BLUM_2,"Blum",,  48.407978,  -4.485216,,,,1
UNIVER_1,"Universités",,  48.398907,  -4.494873,,,,1
PRAJEN_1,"Du Prajen",,  48.424679,  -4.502532,,,,1
JEZEQL_2,"Jézéquel",,  48.404224,  -4.393164,,,,2
JESEQL_1,"Jézéquel",,  48.404224,  -4.393015,,,,2
LTEY_2,"Lyautey",,  48.398506,  -4.465372,,,,1
LTEY_1,"Lyautey",,  48.398491,  -4.465316,,,,1
SAUPIN_1,"Anse Saupin",,  48.400875,  -4.515541,,,,1
SAUPIN_2,"Anse Saupin",,  48.400867,  -4.515512,,,,1
VILNE_1,"Villeneuve",,  48.408909,  -4.467432,,,,1
MESME_2,"Mesmerrien",,  48.421093,  -4.467421,,,,1
VILNE_2,"Villeneuve",,  48.408901,  -4.467079,,,,1
MESME_1,"Mesmerrien",,  48.420246,  -4.467392,,,,1
WAGNER_2,"Wagner",,  48.394993,  -4.528510,,,,1
WARSP_1,"Warspite",,  48.390106,  -4.521621,,,,1
WARSP_2,"Warspite",,  48.390148,  -4.521531,,,,1
GILOUX_2,"Giloux",,  48.415859,  -4.486884,,,,1
GILOUX_1,"Giloux",,  48.415676,  -4.486955,,,,1
PGUENA_2,"Père Gwenaël",,  48.381187,  -4.368495,,,,2
QUESTE_2,"Questel",,  48.399078,  -4.531622,,,,2
QUESTE_1,"Questel",,  48.398838,  -4.531753,,,,2
DUNANT_1,"Dunant",,  48.420902,  -4.493481,,,,1
KERGA_2,"Kergaradec",,  48.424610,  -4.466809,,,,1
BRUYER_1,"Bruyère",,  48.438145,  -4.470093,,,,1
LUSSAC_2,"Gay Lussac",,  48.407490,  -4.494898,,,,1
LUSSAC_1,"Gay Lussac",,  48.408001,  -4.495276,,,,1
WAGNER_1,"Wagner",,  48.394859,  -4.528479,,,,1
BLUM_1,"Blum",,  48.407806,  -4.485058,,,,1
BRUYER_2,"Bruyère",,  48.438286,  -4.469691,,,,1
VALLEE_2,"Vallée Verte",,  48.437054,  -4.473056,,,,2
VALLEE_1,"Vallée Verte",,  48.437031,  -4.472836,,,,2
KERZES_1,"Kerzespez",,  48.432674,  -4.559792,,,,1
KERGRO_1,"Kergroas",,  48.439980,  -4.475052,,,,2
KERGRO_2,"Kergroas",,  48.439625,  -4.474776,,,,2
CHR_R2,"Hôpital Cavale 1",,  48.401489,  -4.526220,,,,1
CHR_R1,"Hôpital Cavale 1",,  48.401493,  -4.526315,,,,1
COCT_1,"Cocteau",,  48.373547,  -4.540294,,,,1
FARAD_1,"Faraday",,  48.360905,  -4.579990,,,,1
FARAD_2,"Faraday",,  48.361164,  -4.580499,,,,1
PICCAR_1,"Piccard",,  48.362133,  -4.564009,,,,2
PICCAR_2,"Piccard",,  48.362106,  -4.564127,,,,2
